mz,intensity,Precursor_mz
52.206,530000,305.138
68.1168,630000,
77.7352,710000,
91.0549,19000000,
93.0704,1800000,
95.0497,5500000,
98.4707,670000,
110.0364,860000,
112.1682,650000,
119.0495,19000000,
121.0651,9300000,
125.0599,3200000,
136.0521,2200000,
137.06,18000000,
147.0443,790000,
148.0517,1600000,
149.0602,1700000,
151.0401,1700000,
151.0756,110000000,
151.3626,620000,
166.0626,14000000,
167.0705,4400000,
181.0861,83000000,
192.4397,610000,
194.273,680000,
213.0916,1700000,
241.0866,4100000,
242.3799,640000,
244.0852,730000,
305.1385,33000000,
